id,reason,province,municipality
14414.0,not_available,Bruxelles-Brussel,OUDERGEM
14415.0,not_available,Liège,Liège
14418.0,not_available,Hainaut,Charleroi
14419.0,not_available,Hainaut,Charleroi
14421.0,not_available,Namur,Gembloux
14425.0,not_available,Vlaams-Brabant,Machelen
14437.0,not_available,Oost-Vlaanderen,GENT
14443.0,not_available,Antwerpen,Antwerpen
14452.0,not_available,Antwerpen,Aartselaar
14458.0,not_available,Liège,Ougrée
14459.0,not_available,Liège,Ougrée
14460.0,not_available,Liège,Herstal
14500.0,not_available,Vlaams-Brabant,Boortmeerbeek
14523.0,not_available,Limburg,Oudsbergen
14529.0,not_available,Limburg,Zutendaal
14532.0,not_available,Brabant Wallon,Nivelles
14533.0,not_available,Brabant Wallon,Nivelles
14537.0,not_available,Bruxelles-Brussel,Uccle
14545.0,not_available,Liège,Limbourg 
14547.0,not_available,Antwerpen,Antwerpen
14549.0,not_available,West-Vlaanderen,Jabbeke
14551.0,not_available,Brabant Wallon,Beauvechain
14552.0,not_available,Limburg,Bocholt
14553.0,not_available,Bruxelles-Brussel,Brussel
14590.0,not_available,Antwerpen,BOOM
14612.0,not_available,Hainaut,Pont-à-Celles
14618.0,not_available,Hainaut,Pont-à-Celles
14619.0,not_available,Hainaut,Pont-à-Celles
14624.0,not_available,Oost-Vlaanderen,Zele
14653.0,not_available,Oost-Vlaanderen,Wetteren
14658.0,not_available,Namur,Han-sur-Lesse
14659.0,not_available,Namur,Rochefort
14660.0,not_available,Namur,Han-sur-Lesse
14661.0,not_available,Namur,Han-Sur-Lesse
14675.0,not_available,Hainaut,Tournai
14679.0,not_available,Liège,Angleur
14680.0,not_available,Liège,Liège
14681.0,not_available,Liège,Liège
